Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
60,No,Travel_Rarely,1326,Human Resources,7,2,Marketing,4,Female,90,4,1,Human Resources,3,Single,14094,2,No,22,3,2,37,1,4,4,2,3,3
38,Yes,Non-Travel,1133,Sales,25,2,Medical,3,Male,82,2,1,Sales Executive,2,Single,9886,1,Yes,25,3,2,39,2,2,15,15,6,11
34,No,Non-Travel,653,Research & Development,16,1,Marketing,4,Female,72,3,2,Research Director,4,Married,18647,4,No,12,3,2,12,1,3,14,1,10,11
31,Yes,Travel_Frequently,876,Research & Development,21,3,Life Sciences,4,Female,70,1,4,Laboratory Technician,2,Single,2286,6,No,24,3,3,10,0,3,5,3,3,3
44,No,Non-Travel,165,Sales,24,5,Life Sciences,4,Female,97,3,1,Sales Representative,2,Married,19739,1,No,17,4,4,22,6,2,5,1,4,1
22,No,Travel_Frequently,229,Sales,3,3,Marketing,1,Female,79,1,2,Manager,3,Divorced,17137,3,No,17,3,3,22,4,4,5,3,5,3
43,No,Travel_Frequently,1004,Human Resources,8,4,Medical,3,Female,34,3,4,Human Resources,2,Single,6476,3,Yes,12,4,4,16,4,4,16,8,8,6
26,No,Non-Travel,692,Human Resources,4,1,Technical Degree,4,Female,46,4,2,Manager,2,Single,9950,3,No,15,3,3,26,4,2,9,1,3,9
30,Yes,Non-Travel,1453,Human Resources,4,1,Marketing,4,Female,98,2,3,Human Resources,1,Single,13868,1,No,18,4,1,8,6,2,18,17,9,1
52,Yes,Non-Travel,691,Research & Development,19,3,Other,2,Female,35,3,2,Research Director,4,Single,2251,2,Yes,12,4,3,16,2,4,18,18,10,8
55,Yes,Travel_Rarely,688,Research & Development,29,4,Life Sciences,2,Male,79,2,2,Laboratory Technician,4,Single,14558,1,No,24,3,4,3,3,2,1,1,0,1
32,No,Non-Travel,215,Research & Development,12,4,Life Sciences,4,Female,75,4,2,Research Scientist,2,Single,13510,5,No,18,3,1,32,5,2,7,7,1,4
37,No,Non-Travel,566,Research & Development,6,3,Human Resources,3,Female,61,2,3,Research Scientist,2,Single,10038,6,No,16,4,3,16,3,2,4,4,0,0
34,No,Travel_Rarely,1371,Sales,20,4,Technical Degree,2,Female,73,4,1,Sales Representative,3,Married,14499,3,No,18,4,3,22,5,1,17,5,10,16
30,No,Travel_Frequently,529,Human Resources,23,5,Marketing,2,Female,60,3,2,Manager,2,Single,14320,8,Yes,17,3,2,19,6,4,0,1,0,1
44,Yes,Non-Travel,1226,Sales,13,5,Life Sciences,3,Female,59,2,3,Sales Executive,1,Married,4854,8,No,18,4,1,4,6,2,13,0,7,5
47,No,Travel_Rarely,1403,Sales,15,2,Technical Degree,4,Male,67,2,2,Sales Executive,3,Married,18758,1,No,11,4,4,23,0,4,15,0,5,1
26,Yes,Travel_Rarely,660,Research & Development,4,4,Other,1,Female,88,4,5,Laboratory Technician,1,Married,19578,6,No,17,3,1,25,4,2,4,0,1,2
49,Yes,Non-Travel,212,Sales,27,3,Life Sciences,3,Female,42,3,2,Manager,2,Single,5006,2,Yes,18,4,3,38,6,1,18,18,9,12
47,Yes,Travel_Rarely,627,Research & Development,15,3,Marketing,3,Female,87,4,4,Research Director,1,Single,17094,4,No,20,3,4,23,0,1,16,0,0,8
31,No,Travel_Rarely,589,Human Resources,27,5,Medical,2,Female,54,3,3,Human Resources,1,Married,16415,5,No,11,4,1,25,1,3,13,2,7,10
58,No,Non-Travel,1317,Research & Development,15,5,Other,2,Female,41,3,2,Research Scientist,4,Single,6484,9,No,20,4,4,36,2,2,17,8,8,2
31,No,Non-Travel,117,Research & Development,22,5,Technical Degree,3,Male,85,4,2,Research Scientist,4,Married,10635,5,No,12,4,2,2,5,3,16,7,5,8
31,No,Travel_Frequently,1402,Human Resources,15,1,Other,2,Male,95,4,2,Human Resources,2,Divorced,7851,1,No,12,3,4,19,3,2,15,6,9,0
59,No,Travel_Frequently,1315,Sales,11,3,Human Resources,4,Male,39,4,2,Manager,2,Divorced,8777,1,No,16,4,3,8,1,3,18,5,0,17
58,No,Travel_Frequently,1084,Sales,22,5,Medical,4,Female,36,3,2,Sales Executive,3,Divorced,12960,5,Yes,21,3,1,32,1,2,2,0,2,0
56,No,Non-Travel,543,Sales,2,5,Other,3,Male,38,4,2,Sales Executive,2,Divorced,11041,5,No,17,4,4,23,3,3,9,7,3,6
56,No,Travel_Frequently,721,Research & Development,7,5,Life Sciences,2,Male,85,4,5,Research Director,4,Divorced,19305,6,No,11,3,2,6,4,4,8,1,8,6
36,No,Travel_Frequently,385,Research & Development,27,1,Technical Degree,3,Female,55,3,4,Healthcare Representative,3,Single,13216,2,No,25,4,1,15,6,1,17,13,10,15
41,No,Travel_Frequently,667,Research & Development,22,5,Human Resources,4,Male,64,2,3,Healthcare Representative,2,Married,4181,6,Yes,22,3,4,2,0,1,17,7,8,9
57,Yes,Travel_Frequently,1195,Human Resources,19,4,Human Resources,3,Female,82,4,1,Human Resources,1,Married,18862,4,Yes,17,3,1,11,6,4,18,5,10,7
46,No,Travel_Rarely,933,Research & Development,12,2,Medical,4,Female,81,4,5,Research Director,2,Married,11440,1,No,13,4,2,22,5,1,13,4,1,13
35,No,Travel_Rarely,1339,Sales,3,3,Life Sciences,3,Male,50,4,2,Sales Representative,3,Married,14837,1,No,11,3,4,17,2,4,7,6,2,4
41,Yes,Travel_Frequently,328,Sales,13,2,Other,1,Male,70,1,5,Sales Representative,2,Single,7271,5,No,17,3,4,1,3,3,14,8,6,2
51,No,Travel_Frequently,146,Human Resources,30,3,Human Resources,2,Female,70,3,5,Manager,3,Married,11195,0,No,15,3,3,1,6,4,4,1,0,0
29,Yes,Travel_Frequently,487,Human Resources,15,4,Other,4,Male,87,1,3,Manager,1,Divorced,17302,7,Yes,15,3,1,34,2,3,11,9,5,2
52,No,Travel_Frequently,173,Research & Development,6,3,Human Resources,4,Female,34,3,5,Research Scientist,2,Single,19455,5,No,12,4,4,16,2,4,6,5,4,2
47,No,Travel_Frequently,138,Research & Development,10,2,Other,4,Female,54,2,1,Laboratory Technician,1,Single,19543,9,No,21,3,1,5,4,2,19,0,4,7
41,Yes,Travel_Rarely,723,Sales,27,2,Medical,4,Female,89,4,4,Manager,2,Divorced,10387,6,No,25,3,3,5,0,1,15,14,3,4
42,No,Travel_Rarely,1303,Research & Development,23,3,Other,4,Female,99,2,2,Research Director,3,Single,9118,0,Yes,16,4,1,28,1,2,19,11,10,15
22,No,Non-Travel,1486,Sales,22,4,Technical Degree,4,Female,43,3,3,Sales Representative,3,Single,2274,7,No,11,4,1,14,0,1,1,0,1,1
54,No,Travel_Rarely,467,Sales,29,4,Human Resources,3,Female,47,1,4,Sales Representative,1,Married,3825,9,No,16,4,2,4,5,4,11,4,4,6
24,No,Travel_Frequently,106,Research & Development,10,2,Technical Degree,4,Female,92,1,4,Laboratory Technician,4,Married,11184,3,No,12,4,1,23,3,2,1,1,0,0
18,No,Travel_Frequently,1230,Human Resources,24,2,Marketing,1,Female,100,2,2,Human Resources,1,Married,5279,2,No,24,4,4,14,2,2,7,5,5,6
39,No,Non-Travel,1058,Research & Development,14,3,Human Resources,4,Female,97,2,5,Laboratory Technician,3,Married,12924,7,Yes,25,4,3,4,6,4,13,10,6,1
27,No,Non-Travel,1481,Research & Development,5,3,Other,4,Male,41,1,4,Research Director,2,Divorced,16489,5,No,15,4,1,8,5,3,2,0,1,0
56,No,Travel_Frequently,1482,Sales,1,4,Life Sciences,3,Female,54,1,4,Manager,2,Single,15855,9,No,23,4,3,14,4,3,11,3,5,1
44,Yes,Travel_Rarely,353,Research & Development,21,3,Other,1,Male,81,4,3,Healthcare Representative,4,Single,4065,2,No,17,3,4,30,3,2,18,2,0,7
46,Yes,Non-Travel,841,Research & Development,21,4,Marketing,2,Male,61,4,1,Research Director,3,Married,19148,9,No,21,4,1,2,4,1,16,2,9,13
39,No,Travel_Frequently,1465,Sales,14,2,Medical,2,Male,44,1,4,Sales Executive,1,Married,8204,8,No,22,3,3,4,0,3,16,11,2,6
26,No,Non-Travel,666,Sales,7,5,Medical,2,Female,40,2,5,Sales Executive,1,Divorced,9367,8,Yes,11,3,1,1,0,2,17,17,5,7
18,No,Non-Travel,466,Research & Development,11,4,Life Sciences,2,Male,58,2,1,Healthcare Representative,1,Divorced,14263,2,No,13,4,1,38,3,2,16,4,5,1
35,No,Non-Travel,1122,Sales,18,3,Technical Degree,2,Male,94,1,5,Sales Executive,4,Single,17750,4,No,23,3,2,8,3,3,0,0,0,1
22,No,Travel_Rarely,347,Human Resources,1,3,Life Sciences,3,Male,44,3,1,Manager,1,Divorced,16711,4,No,20,4,4,15,2,2,9,5,7,4
23,No,Travel_Frequently,743,Sales,13,2,Life Sciences,1,Male,45,1,3,Sales Representative,4,Single,7349,8,No,21,3,2,27,1,1,17,14,0,8
41,No,Travel_Frequently,1102,Sales,4,4,Human Resources,2,Female,82,2,4,Sales Representative,2,Divorced,11907,4,No,19,4,1,2,4,4,5,5,2,4
50,Yes,Non-Travel,769,Sales,8,3,Life Sciences,2,Male,85,3,2,Sales Representative,1,Single,15406,0,No,19,3,4,4,1,3,4,4,0,4
44,Yes,Non-Travel,1064,Research & Development,1,4,Human Resources,1,Male,44,3,4,Research Scientist,3,Single,8552,3,No,14,3,4,24,3,2,15,7,8,5
55,Yes,Non-Travel,336,Research & Development,28,4,Medical,1,Female,49,4,1,Research Director,4,Single,3396,8,Yes,16,4,1,20,5,1,18,4,2,2
26,No,Travel_Frequently,1159,Research & Development,1,4,Life Sciences,2,Female,97,1,4,Research Director,2,Single,9239,0,No,12,3,1,19,1,3,12,0,2,8
30,Yes,Travel_Frequently,1214,Research & Development,16,5,Life Sciences,2,Male,61,2,5,Healthcare Representative,2,Single,5655,8,No,11,4,4,39,2,1,0,1,0,0
29,Yes,Travel_Rarely,213,Sales,30,1,Other,3,Female,96,1,2,Sales Executive,1,Married,4977,1,No,14,4,1,6,1,1,11,10,0,7
45,No,Travel_Frequently,864,Human Resources,10,3,Life Sciences,2,Female,84,3,3,Manager,4,Married,13595,8,No,13,3,2,34,2,3,8,5,2,1
28,No,Travel_Rarely,822,Sales,13,4,Human Resources,4,Male,94,4,3,Sales Executive,1,Divorced,3942,1,No,13,3,3,6,5,1,1,0,0,0
18,No,Travel_Frequently,996,Sales,8,5,Medical,3,Male,100,4,2,Sales Executive,2,Divorced,7217,2,No,12,4,2,19,1,1,3,2,0,1
22,Yes,Travel_Frequently,1204,Human Resources,19,4,Life Sciences,3,Female,44,1,1,Human Resources,1,Single,3835,3,No,17,4,2,24,1,3,7,6,1,5
53,No,Travel_Frequently,736,Sales,26,4,Other,2,Female,31,3,1,Manager,4,Single,7275,3,No,16,3,1,33,2,4,8,7,2,0
53,Yes,Travel_Frequently,1431,Research & Development,6,3,Human Resources,2,Female,34,1,5,Healthcare Representative,4,Divorced,15519,5,No,16,3,2,29,3,2,16,0,5,0
57,No,Non-Travel,978,Human Resources,22,2,Technical Degree,1,Female,61,3,2,Manager,3,Single,12525,8,Yes,24,3,4,4,6,1,16,6,5,14
39,No,Non-Travel,780,Human Resources,26,5,Technical Degree,1,Female,100,2,1,Human Resources,2,Divorced,4470,2,No,18,3,1,11,5,4,11,4,6,4
31,No,Non-Travel,994,Sales,7,3,Other,2,Male,79,2,3,Sales Representative,4,Married,19990,7,No,24,3,3,32,5,2,20,1,8,14
37,No,Travel_Frequently,1317,Research & Development,29,3,Marketing,3,Female,60,4,1,Healthcare Representative,2,Single,17523,3,No,19,3,3,24,2,2,5,5,1,2
38,No,Non-Travel,1045,Sales,19,3,Other,1,Female,86,1,5,Manager,1,Married,4248,7,No,17,3,1,3,4,2,2,0,1,1
57,No,Travel_Frequently,900,Human Resources,23,4,Other,3,Male,94,3,3,Human Resources,3,Single,1845,5,No,12,4,2,21,2,3,1,0,0,1
36,No,Non-Travel,901,Research & Development,12,3,Other,3,Male,58,4,1,Healthcare Representative,4,Single,19721,2,No,22,3,3,37,4,2,16,8,2,13
45,Yes,Travel_Frequently,636,Sales,26,4,Technical Degree,2,Male,90,2,4,Sales Executive,2,Divorced,18140,3,Yes,19,4,3,32,2,2,6,4,1,6
46,No,Travel_Rarely,1080,Research & Development,13,1,Marketing,2,Male,99,3,4,Laboratory Technician,2,Married,16169,3,No,15,3,1,38,0,4,8,6,5,4
55,No,Non-Travel,1057,Sales,11,5,Other,1,Male,47,4,1,Manager,3,Single,19438,4,No,17,3,1,20,6,1,6,6,6,1
39,Yes,Travel_Rarely,582,Sales,19,1,Life Sciences,2,Female,93,2,4,Manager,4,Single,16022,7,Yes,23,4,3,38,5,2,18,17,9,5
24,No,Travel_Frequently,1341,Human Resources,12,1,Technical Degree,4,Male,52,3,4,Human Resources,2,Married,2371,7,No,16,4,2,36,2,1,6,2,0,5
55,No,Travel_Frequently,594,Sales,3,2,Technical Degree,1,Female,56,4,3,Sales Executive,2,Divorced,19937,6,No,11,3,2,37,3,2,16,12,4,8
33,No,Non-Travel,274,Human Resources,17,2,Technical Degree,4,Female,70,1,5,Human Resources,2,Married,2430,5,No,19,4,3,12,4,3,6,2,1,1
60,No,Travel_Rarely,946,Sales,20,1,Human Resources,4,Male,100,1,2,Manager,4,Single,7023,9,No,13,4,4,31,0,2,2,0,0,2
56,No,Non-Travel,623,Research & Development,10,3,Life Sciences,2,Male,65,4,1,Research Director,1,Married,8005,9,Yes,12,4,2,13,6,2,9,8,7,2
57,Yes,Non-Travel,639,Human Resources,27,4,Marketing,1,Female,71,4,3,Human Resources,2,Married,10592,7,No,19,4,1,27,3,3,0,1,0,1
58,No,Non-Travel,319,Human Resources,17,1,Other,2,Female,31,3,4,Manager,4,Married,9102,2,No,16,4,1,15,4,2,19,13,1,4
27,No,Non-Travel,1043,Research & Development,1,5,Medical,2,Female,60,4,1,Research Scientist,3,Married,14759,8,No,19,4,3,11,3,4,7,6,6,4
52,No,Travel_Frequently,284,Research & Development,22,5,Marketing,1,Female,76,1,4,Healthcare Representative,1,Single,5141,4,No,16,3,1,5,4,1,13,6,1,6
24,No,Travel_Frequently,318,Sales,25,5,Other,3,Male,87,4,5,Sales Executive,1,Single,17263,8,No,12,3,4,36,2,4,3,2,0,2
19,No,Travel_Frequently,1262,Human Resources,28,1,Technical Degree,1,Male,66,2,4,Human Resources,3,Single,19358,9,No,23,3,3,16,2,2,11,1,7,3
35,No,Non-Travel,242,Human Resources,4,3,Medical,2,Male,46,1,4,Manager,3,Divorced,19730,6,No,25,4,1,12,1,2,10,3,2,5
38,No,Travel_Rarely,1395,Sales,21,3,Medical,2,Female,33,1,2,Sales Executive,3,Divorced,5376,3,No,18,3,3,3,4,2,0,1,0,0
39,Yes,Travel_Frequently,1184,Research & Development,5,2,Marketing,1,Female,37,1,4,Research Director,3,Single,9345,9,No,19,3,1,15,4,4,6,6,0,6
53,No,Travel_Frequently,711,Human Resources,14,2,Life Sciences,4,Male,71,3,3,Human Resources,3,Single,4443,2,Yes,19,3,3,1,5,3,16,8,0,11
32,No,Travel_Frequently,843,Research & Development,6,1,Technical Degree,3,Male,85,1,1,Laboratory Technician,2,Single,6240,2,No,14,3,3,20,4,2,9,2,9,6
59,Yes,Travel_Rarely,451,Research & Development,30,2,Human Resources,4,Female,74,4,4,Research Scientist,1,Divorced,18903,5,Yes,19,4,4,8,5,2,13,5,5,9
50,No,Travel_Rarely,1059,Sales,17,4,Medical,3,Female,43,4,2,Sales Executive,3,Divorced,5481,8,No,18,3,1,37,0,1,15,7,3,15
31,No,Non-Travel,1309,Sales,24,5,Medical,4,Female,64,4,5,Sales Executive,4,Single,4839,6,No,12,3,1,3,5,1,5,2,5,2
55,No,Non-Travel,753,Human Resources,8,2,Human Resources,1,Female,46,1,2,Manager,3,Married,9398,9,Yes,13,3,4,37,0,1,16,5,6,13
39,No,Non-Travel,1474,Sales,10,2,Other,3,Female,35,3,2,Sales Representative,1,Married,4013,1,No,15,3,4,39,5,2,15,14,9,2
54,No,Travel_Rarely,891,Sales,25,4,Human Resources,3,Female,46,1,5,Sales Executive,3,Single,2530,2,No,16,4,3,23,5,4,0,0,0,0
48,No,Travel_Rarely,1128,Human Resources,22,3,Life Sciences,1,Male,70,3,1,Manager,1,Single,6816,4,Yes,24,3,4,3,1,4,15,10,2,6
26,Yes,Travel_Rarely,180,Research & Development,30,2,Technical Degree,4,Female,42,1,3,Research Scientist,1,Divorced,16838,8,No,20,3,4,17,3,4,1,1,0,1
47,No,Travel_Frequently,502,Human Resources,21,5,Technical Degree,2,Male,56,4,4,Human Resources,4,Married,4721,9,No,23,4,4,36,0,4,1,0,1,0
25,Yes,Travel_Rarely,1125,Human Resources,16,1,Medical,3,Female,97,3,1,Manager,4,Single,17058,0,No,12,3,3,39,0,1,3,1,1,2
51,Yes,Travel_Frequently,1056,Research & Development,14,5,Medical,4,Male,99,2,1,Healthcare Representative,3,Married,3016,3,No,14,4,4,14,0,1,19,9,0,0
20,No,Non-Travel,160,Sales,6,4,Technical Degree,1,Male,72,3,3,Manager,3,Divorced,2832,8,Yes,12,3,3,8,1,4,1,0,0,1
49,No,Travel_Rarely,442,Sales,2,3,Technical Degree,2,Female,68,1,2,Sales Executive,2,Single,10624,4,Yes,12,4,2,20,3,4,20,4,9,17
30,No,Non-Travel,1406,Research & Development,19,3,Medical,3,Female,57,3,1,Healthcare Representative,2,Married,6606,5,No,14,4,1,13,2,4,2,2,1,2
60,No,Non-Travel,911,Sales,1,4,Medical,1,Male,51,1,4,Sales Executive,3,Single,19853,6,No,17,4,4,40,2,2,15,0,2,1
26,No,Non-Travel,1492,Human Resources,18,5,Human Resources,4,Female,39,3,3,Human Resources,2,Divorced,9635,6,No,14,3,2,25,2,4,16,7,6,3
19,No,Travel_Rarely,522,Sales,25,3,Human Resources,3,Male,79,4,2,Manager,3,Divorced,19489,6,No,17,4,2,1,4,2,19,14,2,2
28,No,Travel_Rarely,1092,Research & Development,4,5,Marketing,1,Male,64,4,3,Laboratory Technician,2,Divorced,4968,2,No,25,3,1,37,3,3,17,11,6,0
24,No,Travel_Frequently,705,Human Resources,5,1,Other,3,Female,39,1,5,Human Resources,4,Single,10374,1,No,25,4,1,16,4,4,4,0,0,2
25,No,Travel_Rarely,1219,Human Resources,10,2,Technical Degree,3,Male,85,2,5,Manager,1,Divorced,13747,7,No,15,4,4,7,0,1,18,7,0,18
19,No,Travel_Frequently,1415,Research & Development,24,4,Life Sciences,4,Female,75,1,3,Laboratory Technician,2,Single,5077,6,No,16,3,2,20,3,4,4,4,3,1
53,No,Travel_Rarely,1495,Sales,1,2,Technical Degree,4,Male,80,4,3,Manager,3,Divorced,16442,4,No,11,4,2,37,1,4,12,8,8,3
28,No,Travel_Rarely,502,Human Resources,17,2,Technical Degree,2,Female,51,1,2,Manager,2,Divorced,3637,0,No,13,4,1,10,6,3,1,0,0,1
47,No,Travel_Rarely,1070,Research & Development,12,5,Human Resources,2,Male,41,3,1,Research Scientist,3,Single,9366,5,No,14,3,2,27,5,2,2,2,0,2
49,No,Travel_Rarely,268,Sales,3,3,Other,2,Male,91,3,3,Sales Executive,1,Single,12408,9,Yes,11,3,2,38,5,1,15,6,10,12
40,No,Travel_Rarely,615,Sales,26,5,Other,2,Male,45,2,2,Sales Representative,4,Married,4679,1,No,18,4,3,17,3,2,19,16,2,15
48,No,Travel_Rarely,1464,Research & Development,20,3,Human Resources,3,Female,68,1,4,Laboratory Technician,4,Married,5469,1,Yes,16,4,1,25,6,4,8,3,6,5
56,Yes,Travel_Frequently,1110,Research & Development,6,3,Life Sciences,1,Female,71,1,1,Laboratory Technician,1,Single,17360,4,No,11,4,4,38,4,4,4,4,1,1
53,Yes,Travel_Frequently,990,Sales,5,5,Other,2,Male,69,1,4,Sales Executive,4,Married,18056,7,Yes,12,4,2,6,6,4,5,3,5,4
34,No,Travel_Frequently,1397,Research & Development,25,1,Other,4,Male,57,1,3,Research Scientist,3,Married,14121,8,No,17,4,1,2,3,3,10,8,3,3
44,No,Travel_Frequently,408,Sales,5,5,Human Resources,1,Female,95,2,4,Manager,3,Married,8811,5,No,20,4,2,36,2,4,6,0,5,6
53,No,Travel_Frequently,1002,Sales,12,2,Human Resources,1,Male,64,2,5,Manager,3,Married,13546,0,Yes,24,4,4,26,1,1,18,1,1,11
23,No,Non-Travel,583,Sales,27,3,Technical Degree,4,Female,75,1,1,Manager,2,Divorced,8228,1,No,19,4,1,15,3,2,8,6,2,1
40,No,Travel_Frequently,812,Human Resources,2,2,Human Resources,3,Female,91,2,3,Manager,2,Divorced,11053,7,No,13,4,1,29,3,4,5,5,4,2
59,No,Travel_Rarely,762,Human Resources,16,4,Human Resources,2,Male,54,2,4,Human Resources,4,Married,3486,9,Yes,11,4,2,1,3,2,4,1,1,1
52,Yes,Travel_Frequently,971,Sales,1,3,Technical Degree,1,Female,91,2,3,Manager,1,Single,3863,0,Yes,16,3,2,17,1,1,5,5,5,3
56,No,Non-Travel,1436,Human Resources,4,1,Medical,3,Female,60,4,2,Manager,4,Divorced,11247,2,Yes,24,4,1,22,4,1,20,4,1,14
27,No,Travel_Rarely,160,Research & Development,20,3,Medical,4,Male,74,4,5,Laboratory Technician,3,Married,19553,4,No,19,4,3,13,6,2,1,0,1,0
55,Yes,Travel_Frequently,804,Human Resources,22,5,Marketing,4,Male,90,2,1,Manager,2,Divorced,2622,3,Yes,21,3,2,23,3,1,11,10,8,3
48,No,Travel_Rarely,736,Human Resources,30,4,Medical,1,Male,86,4,3,Human Resources,4,Single,7419,5,No,16,4,4,40,2,1,17,2,8,8
37,No,Non-Travel,160,Research & Development,29,1,Life Sciences,1,Female,72,1,3,Research Director,2,Married,5681,3,No,25,3,3,27,6,3,7,7,0,7
33,No,Non-Travel,292,Sales,29,4,Marketing,1,Female,95,4,5,Manager,4,Divorced,7945,3,No,17,4,2,3,6,4,16,5,4,8
57,Yes,Travel_Rarely,1184,Sales,23,3,Other,1,Male,50,2,4,Sales Executive,2,Divorced,3202,1,Yes,18,4,2,31,6,3,20,3,10,11
42,Yes,Travel_Rarely,792,Sales,2,4,Technical Degree,2,Male,53,3,2,Sales Representative,2,Divorced,2601,4,No,16,3,3,3,1,4,2,2,1,1
26,Yes,Non-Travel,160,Research & Development,21,4,Human Resources,4,Male,30,2,1,Research Scientist,3,Married,18305,4,No,13,3,1,23,1,1,2,2,0,0
21,No,Travel_Rarely,755,Research & Development,20,2,Medical,4,Female,30,3,4,Healthcare Representative,3,Married,19434,4,No,12,4,2,10,3,3,9,4,0,1
33,No,Travel_Rarely,238,Human Resources,25,3,Medical,4,Male,59,2,3,Manager,4,Divorced,11499,3,No,14,3,3,10,6,3,8,1,3,4
22,No,Non-Travel,552,Research & Development,27,4,Technical Degree,4,Female,42,1,1,Laboratory Technician,3,Divorced,16692,0,No,14,4,4,26,1,2,20,14,8,1
37,No,Travel_Rarely,108,Human Resources,30,3,Marketing,3,Male,62,2,5,Human Resources,4,Divorced,6900,3,Yes,14,3,3,26,2,2,4,3,4,1
42,No,Non-Travel,879,Human Resources,19,3,Marketing,1,Male,44,1,5,Human Resources,2,Married,18363,3,No,13,4,3,19,2,4,16,9,0,11
27,No,Travel_Rarely,896,Research & Development,4,5,Marketing,1,Female,41,4,1,Research Scientist,2,Married,10911,2,No,20,4,2,16,4,3,14,10,9,0
35,Yes,Non-Travel,802,Sales,19,2,Other,1,Female,34,3,2,Sales Representative,3,Single,19547,6,Yes,23,4,3,20,0,4,15,15,6,12
20,No,Travel_Frequently,381,Research & Development,10,4,Human Resources,1,Female,33,3,1,Laboratory Technician,1,Divorced,6107,6,No,15,4,4,34,1,3,3,2,0,3
30,Yes,Travel_Frequently,594,Sales,10,2,Life Sciences,1,Male,58,1,3,Sales Executive,3,Married,2293,6,No,22,3,2,16,2,3,8,3,2,8
26,Yes,Travel_Rarely,1003,Human Resources,27,2,Marketing,1,Male,71,4,1,Manager,2,Single,8688,4,No,13,3,3,9,6,1,17,13,3,5
21,No,Travel_Rarely,668,Sales,27,5,Other,1,Male,68,4,5,Manager,4,Single,12757,8,No,19,4,4,37,4,3,5,5,3,4
35,Yes,Travel_Frequently,569,Sales,18,5,Other,3,Female,79,2,5,Sales Executive,2,Single,11538,1,No,15,3,2,40,3,1,18,3,1,12
46,No,Travel_Rarely,250,Human Resources,6,5,Life Sciences,3,Female,98,1,2,Human Resources,2,Divorced,3395,7,No,21,4,4,21,4,2,13,6,0,11
25,No,Non-Travel,134,Human Resources,14,5,Marketing,3,Female,36,4,2,Human Resources,3,Divorced,19857,8,No,11,4,4,26,0,1,19,18,3,2
22,Yes,Non-Travel,1410,Research & Development,8,4,Technical Degree,3,Female,43,1,2,Research Scientist,2,Divorced,12502,6,Yes,14,4,3,14,0,2,13,4,2,6
43,Yes,Non-Travel,337,Research & Development,16,5,Other,3,Female,59,1,5,Research Scientist,1,Divorced,17726,9,No,16,4,3,39,6,1,6,6,1,6
44,No,Non-Travel,373,Human Resources,26,3,Technical Degree,4,Male,91,3,5,Manager,2,Married,11324,5,No,16,3,1,18,4,1,0,0,0,0
21,No,Travel_Frequently,742,Research & Development,19,2,Technical Degree,1,Male,93,1,4,Research Director,2,Divorced,1547,9,No,15,4,3,24,1,3,1,1,1,0
29,Yes,Travel_Frequently,481,Human Resources,1,3,Technical Degree,2,Male,96,4,1,Manager,1,Divorced,10225,6,No,24,4,2,11,4,1,17,16,1,8
54,No,Non-Travel,217,Human Resources,27,3,Marketing,2,Male,63,3,2,Manager,1,Single,19255,5,No,20,3,2,18,5,2,4,1,2,4
59,No,Non-Travel,1458,Human Resources,24,3,Human Resources,1,Male,65,3,5,Human Resources,3,Single,13694,4,No,22,4,2,37,6,2,13,5,9,1
29,Yes,Travel_Rarely,977,Human Resources,29,2,Human Resources,1,Male,93,4,3,Manager,3,Single,15981,8,Yes,19,4,3,18,4,4,5,2,1,4
48,No,Non-Travel,1354,Research & Development,12,2,Medical,4,Female,35,4,5,Research Director,2,Single,7261,7,No,23,3,1,17,2,1,8,5,0,3
43,Yes,Travel_Frequently,1135,Research & Development,20,4,Technical Degree,2,Female,84,2,5,Laboratory Technician,3,Divorced,17320,8,Yes,13,3,4,36,6,3,1,1,0,1
24,No,Travel_Frequently,547,Human Resources,20,2,Medical,1,Female,53,3,5,Human Resources,2,Married,6464,4,Yes,21,4,3,38,3,2,6,2,6,3
47,Yes,Travel_Rarely,355,Research & Development,13,5,Technical Degree,2,Male,93,2,4,Research Scientist,1,Divorced,2349,4,No,15,4,4,9,6,3,6,2,1,6
59,Yes,Non-Travel,1271,Research & Development,4,1,Marketing,2,Female,36,3,5,Healthcare Representative,2,Divorced,17651,8,No,20,4,4,17,4,4,20,19,10,1
48,Yes,Travel_Frequently,1038,Sales,26,2,Technical Degree,4,Female,69,2,3,Sales Executive,2,Married,13949,3,Yes,24,3,4,2,2,4,7,5,0,4
59,No,Travel_Frequently,320,Sales,2,5,Marketing,4,Female,98,4,3,Sales Executive,2,Married,10666,1,No,13,3,4,34,2,2,16,7,5,6
46,No,Non-Travel,126,Human Resources,22,4,Human Resources,3,Female,92,2,4,Manager,3,Single,15854,3,No,17,3,3,13,2,2,15,3,10,7
20,Yes,Non-Travel,514,Sales,4,3,Technical Degree,1,Male,92,1,4,Manager,4,Single,7142,7,Yes,19,4,3,30,5,1,17,9,3,3
